time,seconds_elapsed,z,y,x
1708152450955925800,0.11192578125,1.552343726158142,9.241679191589355,-2.5836503505706787
1708152450974569700,0.13056982421875,1.3154542446136475,9.340981483459473,-2.4580271244049072
1708152450993213700,0.149213623046875,0.9361918568611145,9.366703987121582,-2.5052852630615234
1708152451011857700,0.167857666015625,0.8943174481391907,9.34157943725586,-2.3545374870300293
1708152451030501600,0.186501708984375,0.8267202377319336,9.43609619140625,-2.1708884239196777
1708152451049145600,0.2051455078125,1.252044439315796,9.358927726745605,-2.2498514652252197
1708152451067789600,0.22378955078125,1.4536397457122803,9.342177391052246,-2.5058834552764893
1708152451086433500,0.24243359375,1.4626128673553467,9.363115310668945,-2.589632272720337
1708152451105077500,0.261077392578125,1.4673985242843628,9.408578872680664,-2.348555326461792
1708152451123721500,0.279721435546875,1.7736797332763672,9.366106033325195,-2.17627215385437
1708152451142365400,0.298365478515625,1.5876377820968628,9.34277629852295,-2.3670997619628906
1708152451161009400,0.317009521484375,1.506281852722168,9.353543281555176,-2.3647069931030273
1708152451179653400,0.3356533203125,1.551147222518921,9.256634712219238,-2.251646041870117
1708152451198297300,0.35429736328125,1.4003994464874268,9.30867862701416,-2.194218397140503
1708152451216941300,0.37294140625,1.3848460912704468,9.355338096618652,-2.2953150272369385
1708152451235585300,0.391585205078125,1.317248821258545,9.381659507751465,-2.4436700344085693
1708152451254229200,0.410229248046875,1.3244273662567139,9.393623352050781,-2.4604198932647705
1708152451272873200,0.428873291015625,1.2197413444519043,9.381061553955078,-2.4197418689727783
1708152451291517200,0.44751708984375,1.210170030593872,9.432506561279297,-2.310270309448242
1708152451310161200,0.4661611328125,1.420140266418457,9.404391288757324,-2.252842426300049
1708152451328805000,0.48480517578125,1.5086746215820312,9.32722282409668,-2.3718855381011963
1708152451347449000,0.503448974609375,1.592423439025879,9.325428009033203,-2.4269204139709473
1708152451366093000,0.522093017578125,1.4261223077774048,9.301499366760254,-2.431107759475708
1708152451384737000,0.540737060546875,1.316650629043579,9.281759262084961,-2.376072883605957
1708152451403381000,0.559381103515625,1.287936806678772,9.32004451751709,-2.3617160320281982
1708152451422025000,0.57802490234375,1.34476637840271,9.332008361816406,-2.417349100112915
1708152451440669000,0.5966689453125,1.5044872760772705,9.294919967651367,-2.4430718421936035
1708152451459313000,0.61531298828125,1.404586911201477,9.309276580810547,-2.3545374870300293
1708152451477956900,0.633956787109375,1.4021940231323242,9.32602596282959,-2.3258235454559326
1708152451496600800,0.652600830078125,1.2837493419647217,9.475577354431152,-2.169692039489746
1708152451515244800,0.671244873046875,1.451246976852417,9.404989242553711,-2.197807550430298
1708152451533888800,0.689888671875,1.3746765851974487,9.429515838623047,-2.2959132194519043
1708152451552532700,0.70853271484375,1.563111424446106,9.33141040802002,-2.4939193725585938
1708152451571176700,0.7271767578125,1.4727823734283447,9.34457015991211,-2.4915266036987305
1708152451589821000,0.745821044921875,1.48055899143219,9.32722282409668,-2.307279348373413
1708152451608464600,0.764464599609375,1.51166570186615,9.361320495605469,-2.11405873298645
1708152451627108600,0.783108642578125,1.3525429964065552,9.296713829040527,-2.3186452388763428
1708152451645752600,0.801752685546875,1.485344648361206,9.366703987121582,-2.231307029724121
1708152451664396800,0.820396728515625,1.532004714012146,9.412766456604004,-2.255833625793457
1708152451683040800,0.839040771484375,1.428515076637268,9.559326171875,-2.134995937347412
1708152451701684500,0.8576845703125,1.4691931009292603,9.493523597717285,-2.2540390491485596
1708152451720328700,0.87632861328125,1.3148560523986816,9.460622787475586,-2.239083766937256
1708152451738972700,0.89497265625,1.5463616847991943,9.19980525970459,-2.3994028568267822
1708152451757616600,0.91361669921875,1.3992030620574951,9.33559799194336,-2.3670997619628906
1708152451776260600,0.932260498046875,1.4685949087142944,9.297910690307617,-2.3545374870300293
1708152451794904600,0.950904541015625,1.2987045049667358,9.390034675598145,-2.2911276817321777
1708152451813548500,0.969548583984375,1.3818551301956177,9.381061553955078,-2.3718855381011963
